0.60310, 51.26403, "Bearsted Caravan Club Site >441622730018"
0.65055, 50.89678, "Fairlight Wood Caravan Club Site >441424812333"
1.01247, 51.05838, "Daleacres Caravan Club Site >441303267679"
1.15791, 51.13241, "Black Horse Farm Caravan Club Site >441303892665"
-2.37832, 52.52705, "Stanmore Hall Touring Park >441746761761"
-2.25184, 52.73777, "High Onn Caravan Club Site >441785840141"
-1.98503, 53.13864, "Blackshaw Moor Caravan Club Site >441538300203"
-1.92874, 53.24511, "Grin Low Caravan Club Site >44129877735"
-1.85212, 52.89522, "Uttoxeter Racecourse Caravan Club Site >441889564172"
-1.62853, 53.04396, "Blackwall Plantation Caravan Club Site >441335370903"
-1.61772, 53.23738, "Chatsworth Park Caravan Club Site >441246582226"
-1.47358, 53.04894, "The Firs Caravan Club Site >441773852913"
-1.38841, 52.89434, "Elvaston Castle Caravan Club Site >441332573735"
-1.35041, 53.25992, "Pools Brook Country Park Caravan Club Site >441246470659"
-1.06113, 53.28223, "Clumber Park Caravan Club Site >441904658997"
-0.80750, 53.14995, "Milestone Caravan Park >441636821244"
-0.63213, 52.72313, "Rutland Caravan & Camping Site >441572813520"
-0.55679, 52.57463, "Top Lodge Caravan Club Site >441780444617"
-0.30593, 52.56053, "Ferry Meadows Caravan Club Site >441733233526"
-0.03991, 52.38929, "Stroud Hill Park >441487741333"
0.34970, 53.16732, "Skegness Sands >441754761484"
0.49388, 52.81255, "The Sandringham Estate Caravan Club Site >441553631614"
0.66748, 52.53954, "The Covert Caravan Club Site >441842878356"
0.85172, 52.82195, "Fakenham Racecourse Caravan Club Site >441328862388"
1.18141, 52.64687, "Norfolk Showground Caravan Club Site >441603742708"
1.25247, 52.93395, "Incleboro Fields Caravan Club Site >441263837419"
1.27909, 52.93355, "Seacroft Caravan Club Site >441263514938"
1.51371, 52.70036, "Broadlands Caravan Club Site >441692630357"
1.72665, 52.41099, "White House Beach Caravan Club Site >441502740278"
1.73320, 52.62800, "Great Yarmouth Caravan Club Site >441493855223"
0.27711, 53.29542, "Hawthorn Farm Caravan Club Site >441507441503"
-1.76674, 53.34754, "Losehill Caravan Club Site >441433620636"
-0.31400, 53.37965, "Market Rasen Racecourse Caravan Club Site >441673842307"
-2.30484, 53.61054, "Burrs Country Park Caravan Club Site >441617610489"
-1.99074, 53.72025, "Lower Clough Foot Caravan Club Site >441422882531"
-1.08090, 53.95066, "Rowntree Park Caravan Club Site >441904658997"
-1.50128, 53.98164, "Great Yorkshire Showground Caravan Club Site >441423560470"
-1.02764, 53.99514, "Beechwood Grange Caravan Club Site >441904424637"
-1.91080, 54.00321, "Strid Wood Caravan Club Site >441756710433"
-1.50141, 54.02288, "Knaresborough Caravan Club Site >441423860196"
-2.03317, 54.07783, "Wharfedale Caravan Club Site >441756753340"
-1.34982, 54.23186, "Thirsk Racecourse Caravan Club Site >441845525266"
-0.48936, 54.25412, "West Ayton Caravan Club Site >441723862989"
-2.18801, 54.30790, "Brown Moor Caravan Club Site >441969667338"
-1.80987, 54.30849, "Lower Wensleydale Caravan Club Site >441969623366"
-0.88579, 54.35222, "The Howard, Rosedale Abbey Caravan Club Site >441751417842"
-0.62396, 54.42314, "Low Moor Caravan Club Site >441947810505"
-1.70574, 54.45297, "Hargill House Caravan Club Site >441748822734"
-1.28610, 54.56787, "White Water Park Caravan Club Site >441642634880"
-1.53065, 54.79545, "Grange Caravan Club Site >441913844778"
-1.46462, 55.07565, "Old Hartley Caravan Club Site >441912370256"
-2.53514, 55.18046, "Kielder Water Caravan Club Site >441434250278"
-1.89324, 55.23327, "Nunnykirk Caravan Club Site >441669620762"
-1.92108, 55.44473, "River Breamish Caravan Club Site >441665578320"
-1.99878, 55.75895, "Seaview Caravan Club Site >441289305198"
-2.47030, 57.05759, "Silverbank Caravan Club Site >441330822477"
